"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Alamgir Kabir M.; Islam M.M.M.; Chakraborty N.R.; Noori S.R.H.","Alamgir Kabir, Md (36449234700); Islam, M. M. Manjurul (56046180400); Chakraborty, Narayan Ranjan (57190261838); Noori, Sheak Rashed Haider (57192711223)","36449234700; 56046180400; 57190261838; 57192711223","Trustworthy Artificial Intelligence for Industrial Operations and Manufacturing: Principles and Challenges","2025","Springer Series in Advanced Manufacturing","Part F138","","","179","197","2","10.1007/978-3-031-80154-9_9","https://www.scopus.com/pages/publications/105000245558?origin=resultslist","The digitization of industrial operations and manufacturing has transformed factories through automation and model-based approaches, driving advancements in areas like additive manufacturingAdditive manufacturing, augmented reality, and simulation. While these technologies have significantly enhanced industrial processes, artificial intelligence (AI)Artificial Intelligence (AI) has yet to be fully integrated as a central component. Emphasizing the importance of human involvement alongside technological innovation, AI applications are particularly vital in areas such as roboticsRobotics, where human-centricHuman-Centric AI approaches are key. Despite its widespread use in consumer-focused services, trust in AI remains a major concern in industrial settings. Initiatives such as the European Union’s Trustworthy AITrustworthy AI guidelines and the EU Act aim to foster trust in AI while ensuring ethical implementation and worker safety. However, many organizations remain unaware of the need for specific approaches to effectively address trust concerns in AI systems. This work explores the principles required for building trustworthy AITrustworthy AI systems for industrial operations and manufacturing and challenges of trustworthy AI. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","Book chapter","Final","","Scopus","2-s2.0-105000245558"
"Alcántara J.A.; Orbegoso E.M.; Caetano N.R.; Verástegui L.J.; Seminario J.B.; Otañe J.S.; Calvanapón Y.L.; Lorenzini G.","Alcántara, Josmell Alva (57219779934); Orbegoso, Elder Mendoza (26658576300); Caetano, Nattan Roberto (56472872300); Verástegui, Luis Julca (59459687000); Seminario, Juan Bengoa (60430482500); Otañe, Jimmy Silvera (59460165100); Calvanapón, Yvan Leiva (60430482600); Lorenzini, Giulio (7006370499)","57219779934; 26658576300; 56472872300; 59459687000; 60430482500; 59460165100; 60430482600; 7006370499","A Real-Time IoT and Cloud Monitoring Framework for Performance Enhancement of Solar Evacuated Tube Heaters","2026","Frontiers in Heat and Mass Transfer","24","1","13","","","1","10.32604/fhmt.2025.074995","https://www.scopus.com/pages/publications/105031608093?origin=resultslist","The continuous improvement of solar thermal technologies is essential to meet the growing demand for sustainable heat generation and to support global decarbonization efforts. This study presents the design, implementation, and validation of a real-time monitoring framework based on the Internet of Things (IoT) and cloud computing to enhance the thermal performance of evacuated tube solar water heaters (ETSWHs). A commercial system and a custom-built prototype were instrumented with Industry 4.0 technologies, including platinum resistance temperature detectors (PT100), solar irradiance and wind speed sensors, a programmable logic controller (PLC), a SCADA interface, and a cloud-connected IoT gateway. Data were processed locally and transmitted to cloud storage for continuous analysis and visualization via a mobile application. Experimental results demonstrated the prototype’s superior thermal energy storage capacity −47.4 vs. 36.2 MJ for the commercial system, representing a 31%—achieved through the novel integration of Industry 4.0 architecture with an optimized collector design. This improvement is attributed to optimized geometric design parameters, including a reduced tilt angle, increased inter-tube spacing, and the incorporation of an aluminum reflective surface. These modifications collectively enhanced solar heat absorption and reduced optical losses. The framework effectively identified thermal stratification, monitored environmental effects on heat transfer, and enabled real-time system diagnostics. By integrating automation, IoT, and cloud computing, the proposed architecture establishes a scalable and replicable model for the intelligent management of solar thermal systems, facilitating predictive maintenance and future integration with artificial intelligence for performance forecasting. This work provides a practical, data-driven approach to digitizing and optimizing heat transfer systems, promoting more efficient and sustainable solar thermal energy applications. Copyright © 2026 The Authors.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105031608093"
"De Pretis F.; van Gils M.; Varheenmaa M.; Tiihonen M.; Forsberg M.M.","De Pretis, Francesco (56047253500); van Gils, Mark (7004168933); Varheenmaa, Markus (57405554300); Tiihonen, Miia (22836744700); Forsberg, Markus M. (7005377902)","56047253500; 7004168933; 57405554300; 22836744700; 7005377902","Innovative approaches to collecting, aggregating, and analyzing adverse drug events in smart hospitals","2025","International Journal of Risk and Safety in Medicine","36","4","","289","301","4","10.1177/09246479251365094","https://www.scopus.com/pages/publications/105020427067?origin=resultslist","Background: The increasing integration of electronic health records (EHRs) and their secondary use provide new pathways to advance drug safety. Smart hospitals use advanced data collection to enhance pharmacovigilance and better detect adverse drug events (ADEs). Finland’s secondary-use legislation embodies this data-sharing shift. Objective: This work synthesizes current evidence and proposes strategies to strengthen ADE detection and analysis in smart hospitals by integrating multimodal data sources, including EHRs, sensor data, and the Internet of Medical Things (IoMT), to raise overall drug safety standards. Methods: We review the Global Trigger Tool (GTT), sensor technologies, and IoMT for ADE detection and outline how these techniques can be combined, offering a more comprehensive approach to monitoring. Results: Integrating GTT, sensors, and IoMT into a unified system could improve ADE detection and prevention. Combining pharmacovigilance tools with advanced technology can increase the volume and quality of ADE data and supports a preventive focus on patient safety. Conclusions: The study underscores the importance of the smart-hospital concept and emerging data-collection methods in pharmacovigilance. By adopting a holistic approach to ADE detection and integrating diverse data sources, more robust drug-safety surveillance and patient care can be achieved when coupled with human oversight and regulatory compliance. © The Author(s) 2025. This article is distributed under the terms of the Creative Commons Attribution-NonCommercial 4.0 License (https://creativecommons.org/licenses/by-nc/4.0/) which permits non-commercial use, reproduction and distribution of the work without further permission provided the original work is attributed as specified on the SAGE and Open Access page (https://us.sagepub.com/en-us/nam/open-access-at-sage).","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105020427067"
"Woolsey N.; Rohli E.; Sathiaraj D.","Woolsey, Nicholas (57201883758); Rohli, Eric (57200860129); Sathiaraj, David (55355422900)","57201883758; 57200860129; 55355422900","An AI-Based Methodology for Digitizing Historical Tabular Data with High Accuracy","2025","Proceedings - 2025 IEEE International Conference on Information Reuse and Integration and Data Science, IRI 2025","","","","43","48","0","10.1109/IRI66576.2025.00016","https://www.scopus.com/pages/publications/105017843384?origin=resultslist","A methodology to develop automated tools for digitizing historical scientific observations with high levels of accuracy is presented. Digitization of historical data is useful for fast-capturing hand-keyed historical weather observations, and the digitized information can be used to extend historical archives, spur model development and advance scientific studies. Commonly available optical character recognition (OCR) tools, including modern AI-based chat agents, have a character error rate that is too high, especially on scans of historical typeset fonts. This leads to inaccurate digit predictions, requiring more manual and corrective key entries. Some modern OCRs struggle with tabular data and miss table entries, rows, or columns, causing misalignment and propagating classification errors throughout the remainder of the document. This work explores the development of digitization tools that are specialized for specific historical document formats, fonts, and data types and can outperform tools that are trained on a wide range of documents and fonts. Novel alignment and character classification tools are trained on small datasets. Tools have been developed to accurately digitize temperature observations from the U.S. Department of Agriculture Texas monthly weather observation reports from the early 1900s. On a test document with 10,000 digits, a classification accuracy of 97.5% was achieved with 97.5%aligned entries. For readings with a confidence value of 0.975 or above, an accuracy of 99% is achieved.  © 2025 IEEE.","Conference paper","Final","","Scopus","2-s2.0-105017843384"
"Wally B.; Vyskocil J.; Novák P.; Huemer C.; Šindelár R.; Kadera P.; Mazak-Huemer A.; Wimmer M.","Wally, Bernhard (57201467096); Vyskocil, Jiři (57217768105); Novák, Petr (8212131500); Huemer, Christian (6701737850); Šindelár, Radek (7006099412); Kadera, Petr (34976683300); Mazak-Huemer, Alexandra (57219502927); Wimmer, Manuel (14030698000)","57201467096; 57217768105; 8212131500; 6701737850; 7006099412; 34976683300; 57219502927; 14030698000","Leveraging Iterative Plan Refinement for Reactive Smart Manufacturing Systems","2021","IEEE Transactions on Automation Science and Engineering","18","1","9190077","230","243","27","10.1109/TASE.2020.3018402","https://www.scopus.com/pages/publications/85099384059?origin=resultslist","Industry 4.0 production systems must support flexibility in various dimensions, such as for the products to be produced, for the production processes to be applied, and for the available machinery. In this article, we present a novel approach to design and control smart manufacturing systems. The approach is reactive, that is responds to unplanned situations and implements an iterative refinement technique, that is, optimizes itself during runtime to better accommodate production goals. For realizing these advances, we present a model-driven methodology and we provide a prototypical implementation of such a production system. In particular, we employ Planning Domain Definition Language (PDDL) as our artificial intelligence environment for automated planning of production processes and combine it with one of the most prominent Industry 4.0 standards for the fundamental production system model: IEC 62264. We show how to plan the assembly of small trucks from available components and how to assign specific production operations to available production resources, including robotic manipulators and transportation system shuttles. Results of the evaluation indicate that the presented approach is feasible and that it is able to significantly strengthen the flexibility of production systems during runtime. Note to Practitioners - Smart production is an umbrella for a number of shifts and initiatives that deal with digitization of manufacturing/production systems and related issues and potentials. In this work, we present an approach for utilizing automated planning for creating production plans. This is in contrast to the traditional approach, where recipes are programmed into the production system ahead-of-time. However, automated planning relies on specific languages and tools that are hard to master by nonexperts, which is a factor that strongly limited the utilization of plan-driven approaches for industrial automation in practice. Thus, we propose to generate planning tasks automatically with model-driven engineering techniques. We are utilizing the industrial standard IEC 62264 for the description of the production system, and the academic standard Planning Domain Definition Language (PDDL) for planning. PDDL is handled completely transparent to the user, that is the user is shielded from its complexity by employing the IEC 62264 model as the sole frontend. © 2020 IEEE.","Article","Final","","Scopus","2-s2.0-85099384059"
"Srivastava R.; Gune O.A.; Mangsuli P.R.","Srivastava, R. (60529881900); Gune, O.A. (55420713400); Mangsuli, P.R. (17435336700)","60529881900; 55420713400; 17435336700","When to Retrain the Models of AI-Based Raster Digitization Workflow?","2025","Society of Petroleum Engineers - ADIPEC 2025","","","","","","0","10.2118/229198-MS","https://www.scopus.com/pages/publications/105033717682?origin=resultslist","Rasters logs are powerful source of information for exploration and production of oil and gas. Traditionally these raster logs were printed on the paper, later scanned, and stored on computers. Although present on a computer, these scanned raster logs cannot be treated as a digital data as they cannot be directly consumed or processed. Therefore, a large volume of legacy raster data is still not truly digital. Recently, Artificial Intelligence (AI) based raster digitization tools have been developed to convert the scanned raster logs into true digital format such as LAS or CSV. Typically, the raster digitization system includes various machine learning (ML)/deep learning (DL) models to process and digitize various parts of raster images. For example, raster segmentation model is used to segment out log headers, log track, and depth track area of the raster logs. A separate DL model is used to process each of these three areas. For example, log header processing model extracts the log metadata, depth track processing model extracts the depth information, and curve segmentation model extracts the log curve from the log track. Finally, outputs of all these DL models are consolidated to provide raster data in digital format such as LAS or CSV file. Such AI-based raster digitization system looks promising when tested on the data which is similar in distribution to the data on which AI models are trained. However, the performance of such system drops when test data is different in distribution than the train data. It is well known that the performance of DL model on the test data can be improved by retraining or fine-tuning DL model on (part of) the test data. While retraining helps in improving the model performance, retraining of AI-based raster digitization system is a non-trivial task. This is because typical raster digitization system is complex as it involves multiple ML/DL models in cascade or in parallel. If one wants to retrain the raster digitization system, it is not clear which model(s) of the raster digitization system to retrain. Moreover, if deployed in production, users of such AI-based raster digitization system are agnostic to internal mechanisms of DL models. Hence, there is a necessity of an automated workflow which can assess the performance of individual DL models of raster digitization system on the batch data and recommends the retraining of one or more DL models. The work presented in this paper addresses the above question of when to retrain model(s) of raster digitization system. This work provides a novel, fully automated, and robust inference time mechanism to identify the ML/DL models which require retraining. The proposed novel approach achieves an outstanding performance of 66%, 76.1%, and 81.2% (raster segmentation retraining decision classifier), 82.3%, 91.7%, and 86.9% (log header segmentation retraining decision classifier), and 75.6%, 75.1%, and 77% (curve segmentation retraining decision classifier) in accurately detecting the scenarios which require retraining for raster segmentation, log header segmentation, and curve segmentation models, respectively, of raster digitization system. Copyright © 2025, Society of Petroleum Engineers.","Conference paper","Final","","Scopus","2-s2.0-105033717682"
"Christou D.; Tsoumakas G.","Christou, Despina (57222185567); Tsoumakas, Grigorios (8088070600)","57222185567; 8088070600","Extracting semantic relationships in greek literary texts","2021","Sustainability (Switzerland)","13","16","9391","","","13","10.3390/su13169391","https://www.scopus.com/pages/publications/85113485210?origin=resultslist","In the era of Big Data, the digitization of texts and the advancements in Artificial Intelligence (AI) and Natural Language Processing (NLP) are enabling the automatic analysis of literary works, allowing us to delve into the structure of artifacts and to compare, explore, manage and preserve the richness of our written heritage. This paper proposes a deep-learning-based approach to discovering semantic relationships in literary texts (19th century Greek Literature) facilitating the analysis, organization and management of collections through the automation of metadata extraction. Moreover, we provide a new annotated dataset used to train our model. Our proposed model, REDSandT_Lit, recognizes six distinct relationships, extracting the richest set of relations up to now from literary texts. It efficiently captures the semantic characteristics of the investigating time-period by finetuning the state-of-the-art transformer-based Language Model (LM) for Modern Greek in our corpora. Extensive experiments and comparisons with existing models on our dataset reveal that REDSandT_Lit has superior performance (90% accuracy), manages to capture infrequent relations (100%F in long-tail relations) and can also correct mislabelled sentences. Our results suggest that our approach efficiently handles the peculiarities of literary texts, and it is a promising tool for managing and preserving cultural information in various settings. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85113485210"
"El-Moustaqim K.; Mohammed B.; Mabrouki J.; Hmouni D.","El-Moustaqim, Khadija (57835915100); Mohammed, Benchrifa (57191913659); Mabrouki, Jamal (57207990984); Hmouni, Driss (56644954300)","57835915100; 57191913659; 57207990984; 56644954300","Application of IoT-Based Intelligent Systems in Microalgae Biofuel Production","2024","Environmental Science and Engineering","Part F3279","","","293","305","12","10.1007/978-3-031-50871-4_20","https://www.scopus.com/pages/publications/85202076086?origin=resultslist","The transition to the production of sustainable and green energy, such as algal biofuels, has required the prioritization of scaling technologies to improve the overall technological economy of the process. The world today is facing many challenges, such as climate and global change, where we are facing the needs of people who are related to energy and raw materials, and at the same time, we need to keep a more secure border for our world. The focus is now on developing and adopting digitization and automation technologies in the algae sector to meet the desired production scale and optimize operating parameters. It was also discussed how future technologies, such as the Internet of Things (IoT) application to automation and smart agriculture, can significantly improve commercial algal production. Biomanufacturing is advancing in parallel with the fourth industrial revolution that focuses on the production of big data using smart software, artificial intelligence, innovative modeling, robotics, three-dimensional (3D) printing and the Internet of Things (IoT). However, microalgae culture, which requires accurate monitoring, control, and prediction of microalgae biomass growth, has not yet been integrated into IoT and AI technology as it is still in its infancy. This work focuses on the microalgae-based biofuel production process and IoT implementation toward the future of smart agriculture. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.","Book chapter","Final","","Scopus","2-s2.0-85202076086"
"Otoiu A.; Titan E.; Paraschiv D.M.; Dinu V.; Manea D.I.","Otoiu, Adrian (56375694100); Titan, Emilia (47361500400); Paraschiv, Dorel Mihai (31767596100); Dinu, Vasile (31667447800); Manea, Daniela Ioana (55633665000)","56375694100; 47361500400; 31767596100; 31667447800; 55633665000","Analysing Labour-Based Estimates of Automation and Their Implications. A Comparative Approach from an Economic Competitiveness Perspective","2022","Journal of Competitiveness","14","3","","133","152","7","10.7441/joc.2022.03.08","https://www.scopus.com/pages/publications/85140083656?origin=resultslist","Given the advent of Industry 4.0 and the importance of labour-based automation in ensuring competitiveness at the firm, regional cluster, or country level, the paper aims to explore, for the first time, the features of several estimates of occupational/labour automation and to assess the potential risks associated with it. A comparative analysis of the most well-established estimates of labour automation, the Occupational Information Network (O∗NET) degree of automation estimates and Frey and Osborne's future probabilities of automation was carried out to see whether, and to what extent, these estimates are compatible. Results show significant distributional differences between them, which are quantified into automation-triggered disruption risks at the occupational level, as current levels of labour automation are, in some cases, well below their future estimates. Work context features were used to derive a typology of occupations, which can explain up to one-third of the current, and up to half of the future levels of labour automation. Finally, we identified which occupations and occupational groups are likely to be affected by the highest risk of automation-induced displacement and estimated the magnitude of different disruption classes. Conclusions are compatible with other economywide assessments of the impact of labour automation on the workforce, thus being valuable inputs for corporate strategy, decision-makers and human resource planners as they address a growing need for quantitative insights useful for adapting the labour force structure, workers' skills, and the task content of occupations to the competitiveness requirements related to the process of digitization in the Industry 4.0 context. © 2022 Authors. All rights reserved.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85140083656"
"Holford W.D.","Holford, W. David (23667647000)","23667647000","The future of human creative knowledge work within the digital economy","2019","Futures","105","","","143","154","143","10.1016/j.futures.2018.10.002","https://www.scopus.com/pages/publications/85054782156?origin=resultslist","Current and near future organizational strategies are placing great emphasis on machines, robots and AI. Automation to reduce menial or repetitive jobs, digitization of work to render remaining workers more efficient and AI to provide more reliable and productive top-end professional work are all inter-related initiatives enacted by current dominant imaginaries of efficiency and maximization. We argue that there is an Ellulian phenomenon of efficient techniques spreading within technical logics that go beyond neo-liberal frontiers – namely, algorithmic approaches which attempt to capture and reduce all manners of human knowledge and meaning across the efficient explication, formalization and manipulation of signs. Such purely ‘efficient’ and analytical approaches fail to recognize the unique and inimitable characteristics of human creativity and its associated tacit knowledge. Inspirations from more holistic interpretations of Jungian symbolism allow us to provide a starting point towards comprehending the complex, ambiguous, constantly emerging and essentially hard-to-define aspects of human creativity and tacit knowledge. This, along with the argument that there exists a relationship between the democratization of knowledge and democratic decisional processes, provides the basis to present an alternative imaginary of efficiency as proposed by Feenberg (1999). Such an imaginary, allows for the democratic participation of humans in the decisional process and development of technology; and also recognizes and enacts humans as full legitimate partners with technology in their mutual shaping capacities – thus, leading to human-centric organizations. © 2018 Elsevier Ltd","Article","Final","","Scopus","2-s2.0-85054782156"
"Konstantinidis F.K.; Balaska V.; Symeonidis S.; Tsilis D.; Mouroutsos S.G.; Bampis L.; Psomoulis A.; Gasteratos A.","Konstantinidis, Fotios K. (57221260835); Balaska, Vasiliki (57204061279); Symeonidis, Symeon (56292325400); Tsilis, Dimitrios (58421877100); Mouroutsos, Spyridon G. (6603207066); Bampis, Loukas (56115817800); Psomoulis, Athanasios (7801332000); Gasteratos, Antonios (6701673537)","57221260835; 57204061279; 56292325400; 58421877100; 6603207066; 56115817800; 7801332000; 6701673537","Automating dairy production lines with the yoghurt cups recognition and detection process in the Industry 4.0 era","2022","Procedia Computer Science","217","","","918","927","28","10.1016/j.procs.2022.12.289","https://www.scopus.com/pages/publications/85163809306?origin=resultslist","The explosion of the digitisation of traditional industrial processes and procedures is consolidating a positive impact on modern society by offering a critical contribution to its economic development. In particular, the dairy sector consists of various processes, which are very demanding and thorough. Therefore, it is crucial to leverage modern automation tools and through-engineering solutions to increase efficiency and continuously meet challenging standards. Towards this end, an intelligent algorithm based on machine vision and artificial intelligence, which identifies dairy products within production lines, is presented in this work. Furthermore, to train and validate the model, the novel YogDATA dataset was created that includes yoghurt cups captured within a production line. Specifically, we evaluate two deep learning models (Mask R-CNN and YOLO v5.0) to recognise and detect each yoghurt cup in a production line to automate product packaging processes. According to our results, the performance precision of the two models is quite similar, fulfilling the identification requirement of Dairy 4.0 production systems. © 2022 The Authors. Published by ELSEVIER B.V.","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85163809306"
"Waschull S.; Wortmann J.C.; Bokhorst J.A.C.","Waschull, S. (57195629461); Wortmann, J.C. (35585403800); Bokhorst, J.A.C. (6508245526)","57195629461; 35585403800; 6508245526","Manufacturing execution systems: The next level of automated control or of shop-floor support?","2018","IFIP Advances in Information and Communication Technology","536","","","386","393","13","10.1007/978-3-319-99707-0_48","https://www.scopus.com/pages/publications/85053240877?origin=resultslist","Manufacturing Execution Systems (MES) are at the heart of industrial organizations’ endeavors. While MES were traditionally positioned as an integration technology to bridge the shop-floor with higher level business systems, their current focus seems to be on the digitization of shop-floor activities for the collection, analysis and exchange of real-time information. Still, there remains dispute on the role of MES, specifically with respect to the functions they support in relation to other information systems in the automation pyramid, and their resulting interactions with humans. While MES are often positioned as the top layer of automated control of manufacturing processes, it is perceived by others as an integrated decision support system for the shop-floor. This study aims to shed light on the role of MES to either automate or to augment human tasks. Based on insights of a case study, we found that MES are neither automatic control nor solely decision support. MES’ main role is the creation and maintenance of digital twins of products. This involves human interaction, which closely resembles work related to computer-aided engineering (CAE) systems. We expect that work in the sphere of MES will therefore increasingly resemble engineering work. © 2018, IFIP International Federation for Information Processing.","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85053240877"
"Lehmacher W.","Lehmacher, Wolfgang (58352094700)","58352094700","Digitizing and Automating Processes in Logistics","2021","Future of Business and Finance","Part F9808","","","9","27","10","10.1007/978-3-030-61093-7_2","https://www.scopus.com/pages/publications/105035522230?origin=resultslist","Shippers, carriers and logistics companies have started to digitalize and automate processes by deploying relatively new technologies. Digital processes consist of data, rules or algorithms. Process automation is any workflow that controls itself by use of computers and software. Enabling technologies include robotic process automation (RPA), artificial intelligence (AI) and distributed ledger technology (DLT), to name a few. Such technologies do not work in isolation. Instead, they come usually as bundled in solutions. There are many use cases for the digitization and automation of processes in the logistics industry—in the area of logistics corridors and trade hubs, trade facilitation, consumer touch points and interaction, circular services, digital platforms and marketplaces, supply chain monitoring, risk management, trade and supply chain finance, and talent search and training, and decision making. Estimates indicate that logistics technologies could cut shipping and customs processing times by 16 to 28%. Collaboration is essential to extract the value. © Springer Nature Switzerland AG 2021.","Book chapter","Final","","Scopus","2-s2.0-105035522230"
"Feldhoff K.; Zinner M.; Wiemer H.; Ihlenfeldt S.","Feldhoff, Kim (55830587200); Zinner, Martin (60015730800); Wiemer, Hajo (15078105100); Ihlenfeldt, Steffen (6506721503)","55830587200; 60015730800; 15078105100; 6506721503","A Modular Solution Concept for Self-Configurable Electronic Lab Notebooks: Systematic Theoretical Demonstration and Validation Across Diverse Digital Platforms","2026","Applied Sciences (Switzerland)","16","1","462","","","0","10.3390/app16010462","https://www.scopus.com/pages/publications/105027295465?origin=resultslist","Featured Application: The proposed modular solution concept can be directly applied by research institutions seeking to implement cost-effective, customizable, and compliant ELNs on widely available digital platforms such as Microsoft SharePoint or Google Workspace, without the need for proprietary software or advanced programming expertise. The increasing complexity and digitization of scientific research require Electronic Laboratory Notebooks (ELNs) that are adaptable, sustainable, and compliant across heterogeneous laboratory environments. In response to the limitations of proprietary, inflexible, and cost-intensive ELN solutions, this study systematically derives comprehensive requirements and proposes a modular solution concept for self-configurable ELNs that is explicitly platform-agnostic and broadly accessible. The methodological approach combines a structured requirements analysis with a modular architectural design, followed by theoretical validation through stepwise implementation walkthroughs on Microsoft SharePoint and Google Workspace. These walkthroughs demonstrate the feasibility of deploying self-configurable ELN modules using widely available low-code/no-code tools and native platform extensibility mechanisms. Based on a rigorous literature-driven analysis, key requirements, including modularity, usability, regulatory compliance, interoperability, scalability, auditability, and cost efficiency, are explicitly mapped to concrete architectural features within the proposed framework. The results show that essential ELN functionalities can, in principle, be realized across diverse digital platforms, enabling researchers and local administrators to independently assemble, configure, and adapt ELNs to their specific operational and regulatory contexts. Beyond technical feasibility, the proposed approach fundamentally democratizes ELN deployment and substantially mitigates vendor lock-in by leveraging existing digital infrastructures. Identified limitations, particularly with respect to advanced workflow orchestration and real-time data integration, delineate clear directions for future development. Overall, this work provides a systematic theoretical validation of a modular, self-configurable ELN concept, establishing it as a robust, scalable, and future-ready foundation for digital laboratory infrastructures. © 2026 by the authors.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105027295465"
"Martínez M.G.C.","Martínez, María Guadalupe Calderón (58194889700)","58194889700","Analysis of the literature on digital entrepreneurship. An approach to its contribution in the university; [Análisis de la literatura en emprendimiento digital. Un acercamiento a su contribución en la universidad]","2023","Recherches en Sciences de Gestion","156","3","","235","258","2","10.3917/resg.156.0235","https://www.scopus.com/pages/publications/85191972160?origin=resultslist","The objective of this work is to analyze the evolution of research topics in digital entrepreneurship within universities. This analysis aims to contribute to knowledge about entrepreneurship in the university and answer the question about what are the issues surrounding the transition of universities towards digital entrepreneurship in its three substantive axes: teaching, research and the third mission in response to changes in society. The main findings are that digital entrepreneurship is present in the three substantive functions of the university and also in management. The management is linked to the use of digital media for the promotion and communication of the entrepreneurial results of academics and students, as well as with the trends in the automation and digitization of educational services; intrapreneurial capabilities based on Massive Online Open Courses (MOOC) and the process of implementing programs on artificial intelligence. In all the axes, the changes in society originated as a result of the COVID-19 pandemic are addressed. © 2023 ISEOR. All rights reserved.","Article","Final","","Scopus","2-s2.0-85191972160"
"Savić D.","Savić, Dobrica (55991688500)","55991688500","Rethinking the role of grey literature in the fourth industrial revolution","2018","Grey Journal","14","Special Winter Issue","","7","14","11","","https://www.scopus.com/pages/publications/85040728281?origin=resultslist","The world is at the dawn of a new industrial revolution that will fundamentally change the way we live and work. Many consider this the Fourth Industrial Revolution (4IR). While the First Industrial Revolution (1IR) mechanized production using water and steam power, the second one brought mass production using electric power, and the third one was characterized by automation and digitization, mainly using electronics and information technology. The 4IR is building upon the third one, but the difference, and its main contribution, is the fusion of technologies that are blurring the lines between the physical, digital, and biological worlds. This is further enhanced by the emerging progress of technology in fields such as quantum computing, machine learning, artificial intelligence, robotics, virtual assistants, the Internet of Things, self-driving cars, drones, 3-D printing, nanotechnology, biotechnology, traffic and security monitoring systems, and renewable energy. This paper examines the potential impact of the emerging 4IR on grey literature (GL) and is based on analysis of the most prevalent current trends and developments in “cyber-physical systems” that connect machines, computers and people. It will examine the need to rethink the definition of GL, its creation and publication types, processing, sustainability and usability. Given the magnitude of the potential impact of the 4IR on GL, the question is what challenges the 4IR will pose to GL managers. One could assume that the acquisition of new knowledge and skills, and the revamping of existing processes and methods will be necessary. Becoming aware of this new phenomenon is only the beginning. It needs to be followed up by professional development and adequate training. Finally, the job of GL professionals will be to promote and publicize the usefulness and importance of GL, not only in their daily work, but also in research and science. © 2018 TextRelease.","Article","Final","","Scopus","2-s2.0-85040728281"
"Jameel S.M.; Hashmani M.A.; Alhussain H.; Budiman A.","Jameel, Syed Muslim (57203989039); Hashmani, Manzoor Ahmed (24331113700); Alhussain, Hitham (55430817100); Budiman, Arif (56007691300)","57203989039; 24331113700; 55430817100; 56007691300","A fully adaptive image classification approach for industrial revolution 4.0","2019","Advances in Intelligent Systems and Computing","843","","","311","321","11","10.1007/978-3-319-99007-1_30","https://www.scopus.com/pages/publications/85053916603?origin=resultslist","Industrial Revolution (IR) improves the way we live, work and interact with each other by using state of the art technologies. IR-4.0 describes a future state of industry which is characterized through the digitization of economic and production flows. The nine pillars of IR-4.0 are dependent on Big Data Analytics, Artificial Intelligence, Cloud Computing Technologies and Internet of Things (IoT). Image datasets are most valuable among other types of Big Data. Image Classification Models (ICM) are considered as an appropriate solution for Business Intelligence. However, due to complex image characteristics, one of the most critical issues encountered by the ICM is the Concept Drift (CD). Due to CD, ICM are not able to adapt and result in performance degradation in terms of accuracy. Therefore, ICM need better adaptability to avoid performance degradation during CD. Adaptive Convolutional ELM (ACNNELM) is one of the best existing ICM for handling multiple types of CD. However, ACNNELM does not have sufficient adaptability. This paper proposes a more autonomous adaptability module, based on Meta-Cognitive principles, for ACNNELM to further improve its performance accuracy during CD. The Meta-Cognitive module will dynamically select different CD handling strategies, activation functions, number of neurons and restructure ACNNELM as per changes in the data. This research contribution will be helpful for improvement in various practical applications areas of Business Intelligence which are relevant to IR-4.0 and TN50 (e.g., Automation Industry, Autonomous Vehicle, Expert Agriculture Systems, Intelligent Education System, and Healthcare etc.). © Springer Nature Switzerland AG 2019.","Conference paper","Final","","Scopus","2-s2.0-85053916603"
